Name,Displacement,Max Power,Max Torque,Number of Cylinders,Ignition Type,Cooling System,Tank Capacity,Clutch,Mileage,Brake Type F/B,Brake Size F/B,Front Tyre,Rear Tyre,Front Suspension,Rear Suspension,Kerb Weight,Seat Height,Chassis,Price
RE Continental GT,648cc,47bhp,52Nm,2,Digital - TCI,Air/Oil,12.5l,Slipper C,25kmpl,Disc/Disc,320/240mm,100/90,130/70,41mm-front fork,Twin Coil Shocks,198kg,793mm,Double Cradle,2.85L
HD Iron 883,883cc,50bhp,68Nm,2,Digital,Air,12.5l,Wet Multi.,20kmpl,Disc/Disc,292/292mm,100/90b,150/80b,39m Showa,Coil,256kg,760mm,Tubular Frame,9.8L
HD Forty Eight,1202cc,60bhp,96Nm,2,Analog,Air,7.9l,Wet Multi.,16kmpl,Disc/Disc,292/260mm,130/90b,150/80b,Laced Steel,Laced Steel,252kg,710mm,Tubular Frame,12L
Ducati Scrambler Icon,803cc,73bhp,67Nm,1,Digital,Air,13.5l,Wet Multi.,20kmpl,Disc/Disc,330/245mm,110/80-18,180/55-17,USD,Rear Shock,173kg,790mm,Trellis Frame,8L
Kawasaki Ninja 650,649cc,66.4bhp,64Nm,2,Digital,Liquid,15l,Wet Multi.,21kmpl,Disc/Disc,300/220mm,120/70-17m,160/60-17m,41mm Telescopic,Back Link,196kg,790mm,Trellis Frame,6L
Kawasaki Z650,649cc,66.4bhp,64Nm,2,Digital,Liquid,15l,Wet Multi.,21kmpl,Disc/Disc,300/220mm,120/70-17m,160/60-17m,41mm Telescopic,Back Link,191kg,790mm,Trellis Frame,5L
Ducati Panigale V2,955cc,152.8bhp,104Nm,2,Digital,Liquid,17l,Wet Multi.,19kmpl,Disc/Disc,320/245mm,120/70-17,180/60-17,Showa BPF Fork,Sachs Unit,200kg,840mm,Aluminium,16L
,,,,,,,,,,,,,,,,,,,
Ducati Panigale V3,955cc,152.8bhp,104Nm,2,Digital,Liquid,17l,Wet Multi.,19kmpl,Disc/Disc,320/245mm,120/70-17,180/60-17,Showa BPF Fork,Sachs Unit,200kg,840mm,Aluminium,16L

Ducati Panigale V7,955cc,152.8bhp,104Nm,2,Digital,Liquid,17l,Wet Multi.,19kmpl,Disc/Disc,320/245mm,120/70-17,180/60-17,Showa BPF Fork,Sachs Unit,200kg,840mm,Aluminium,16L


Super Bike,955cc,152.8bhp,104Nm,2,Digital,Liquid,17l,Wet Multi.,19kmpl,Disc/Disc,320/245mm,120/70-17,180/60-17,Showa BPF Fork,Sachs Unit,200kg,840mm,Aluminium,16L
Super Bike V2,955cc,152.8bhp,104Nm,2,Digital,Liquid,17l,Wet Multi.,19kmpl,Disc/Disc,320/245mm,120/70-17,180/60-17,Showa BPF Fork,Sachs Unit,200kg,840mm,Aluminium,16L
